Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
1/21/2021,1/1/2020,1/16/2021,Montana,Male,50-64 years,87,"1,088",82,47,,126,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Male,55-64 years,69,872,68,40,,101,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Male,65-74 years,153,"1,463",148,80,,223,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Male,75-84 years,191,"1,697",184,108,,272,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Male,85 years and over,155,"1,529",155,64,,251,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,All Ages,493,"5,317",402,215,18,698,
1/21/2021,1/1/2020,1/16/2021,Montana,Female,Under 1 year,0,26,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Female,0-17 years,0,60,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,5-14 years,0,13,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Female,15-24 years,0,39,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,18-29 years,0,54,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,25-34 years,,79,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,30-49 years,15,234,10,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,35-44 years,,108,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,45-54 years,16,209,11,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,50-64 years,59,673,48,33,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,55-64 years,49,539,41,28,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,65-74 years,82,946,97,50,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,75-84 years,130,"1,271",113,63,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Female,85 years and over,207,"2,079",132,62,,285,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,All Ages,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,Under 1 year,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,0-17 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Montana,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,All Sexes,All Ages,"2,069","19,623","1,882",827,52,"3,176",
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,All Ages,"1,170","10,096","1,034",503,21,"1,722",
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,Under 1 year,0,88,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,0-17 years,,160,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,1-4 years,0,13,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,5-14 years,,30,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,15-24 years,,142,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,18-29 years,,208,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,25-34 years,11,215,12,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,30-49 years,33,639,25,11,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,35-44 years,13,307,11,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,45-54 years,56,544,42,22,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,50-64 years,162,"1,716",162,70,,262,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,55-64 years,121,"1,384",127,52,,204,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,65-74 years,259,"2,171",206,100,,369,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,75-84 years,356,"2,518",287,167,,478,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Male,85 years and over,352,"2,684",344,152,,547,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,All Ages,899,"9,527",848,324,31,"1,454",
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,Under 1 year,0,44,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,0-17 years,0,81,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,1-4 years,0,10,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,5-14 years,0,17,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,15-24 years,,52,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,18-29 years,,71,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,25-34 years,,76,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,30-49 years,13,333,20,,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,35-44 years,,145,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,45-54 years,20,335,33,10,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,50-64 years,87,"1,071",90,35,,148,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,55-64 years,72,877,68,26,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,65-74 years,133,"1,567",139,53,,224,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,75-84 years,229,"2,254",233,98,,368,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nebraska,Female,85 years and over,434,"4,150",360,134,12,672,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,All Ages,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,Under 1 year,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,0-17 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nebraska,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,All Sexes,All Ages,"3,155","31,184","4,080","2,457",57,"4,835",
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,All Ages,"1,976","17,555","2,480","1,549",32,"2,939",
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,Under 1 year,0,78,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,0-17 years,,184,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,1-4 years,0,21,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,5-14 years,,39,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,15-24 years,,283,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,18-29 years,,453,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,25-34 years,13,497,22,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,30-49 years,143,"1,552",156,108,,192,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,35-44 years,64,725,63,46,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,45-54 years,173,"1,339",200,140,,235,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,50-64 years,409,"3,557",512,325,12,608,
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,55-64 years,305,"2,764",389,240,10,464,
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,65-74 years,524,"4,266",692,412,,813,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,75-84 years,570,"4,460",699,448,,829,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Male,85 years and over,323,"3,083",407,253,,479,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,All Ages,"1,179","13,629","1,600",908,25,"1,896",
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,Under 1 year,0,67,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,0-17 years,,113,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,1-4 years,0,11,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,5-14 years,0,17,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,15-24 years,,99,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,18-29 years,,181,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,25-34 years,11,214,16,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,30-49 years,54,801,73,38,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,35-44 years,19,366,23,12,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,45-54 years,63,743,98,47,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,50-64 years,182,"2,072",277,139,,327,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,55-64 years,151,"1,650",219,115,,259,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,65-74 years,271,"2,863",399,220,,455,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,75-84 years,362,"3,655",479,284,,561,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Female,85 years and over,300,"3,944",364,223,,444,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,All Ages,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,Under 1 year,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,0-17 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Nevada,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,All Sexes,All Ages,841,"13,915",834,202,36,"1,507",
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,All Ages,425,"7,173",455,122,15,771,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,Under 1 year,0,25,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,0-17 years,0,56,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,5-14 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,15-24 years,,73,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,18-29 years,,134,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,25-34 years,,170,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,30-49 years,,493,12,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,35-44 years,,223,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,45-54 years,12,417,14,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,50-64 years,33,"1,201",56,,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,55-64 years,25,960,46,,0,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,65-74 years,76,"1,577",104,29,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,75-84 years,142,"1,781",147,43,,252,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Male,85 years and over,167,"1,931",134,39,,264,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,All Ages,416,"6,742",379,80,21,736,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,Under 1 year,0,22,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,0-17 years,0,32,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,15-24 years,0,27,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,18-29 years,0,63,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,25-34 years,0,82,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,30-49 years,,241,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,35-44 years,0,101,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,45-54 years,,231,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,50-64 years,,719,23,,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,55-64 years,,582,20,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,65-74 years,50,"1,077",77,17,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,75-84 years,111,"1,654",111,24,,200,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Female,85 years and over,246,"2,956",164,37,,380,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,All Ages,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,Under 1 year,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,0-17 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Hampshire,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Jersey,All Sexes,All Ages,"17,845","96,766","13,224","8,718",155,"22,491",
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,All Ages,"9,653","49,101","7,288","4,876",92,"12,150",
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,Under 1 year,,170,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,0-17 years,,294,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,1-4 years,0,39,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,5-14 years,0,35,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,15-24 years,14,416,10,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,18-29 years,42,908,28,14,0,56,
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,25-34 years,86,"1,221",56,42,,103,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,30-49 years,555,"3,723",360,268,14,660,
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,35-44 years,232,"1,713",152,110,,276,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,45-54 years,680,"3,389",442,329,13,806,
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,50-64 years,"1,952","9,384","1,376",998,16,"2,345",
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,55-64 years,"1,537","7,326","1,104",797,11,"1,854",
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,65-74 years,"2,238","10,195","1,665","1,154",17,"2,764",
1/21/2021,1/1/2020,1/16/2021,New Jersey,Male,75-84 years,"2,536","11,956","1,983","1,324",21,"3,213",
