State,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Density,Pop,LandArea,HHS Region,Doses allocated week of 12/14,Second Dose Shipment (21 days later) week of 12/14,Doses allocated week of 12/21,Second Dose Shipment (21 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (21 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (21 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (21 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (21 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (21 days later) week of 01/25,"Total Pfizer Allocation ""First Dose"" Shipments","Total Allocation Pfizer ""Second Dose"" Shipments"
South Carolina,"4,838","57,741","4,946","2,146",148,"7,781",175.5707,5277830.0,30061.0,Region 4,"42,900","42,900","30,225","30,225","39,000","39,000","30,225","30,225","30,225","30,225","31,200","31,200","31,200","31,200","234,975","234,975"
South Dakota,"1,469","9,825","1,137",610,34,"2,028",11.8265,896581.0,75811.0,Region 8,"7,800","7,800","5,850","5,850","6,825","6,825","5,850","5,850","5,850","5,850","5,850","5,850","5,850","5,850","43,875","43,875"
Tennessee,"7,377","88,873","9,007","3,741",240,"12,875",168.4069,6944260.0,41235.0,Region 4,"56,550","56,550","39,975","39,975","51,675","51,675","39,975","39,975","39,975","39,975","41,925","41,925","41,925","41,925","312,000","312,000"
Texas,"29,886","249,109","29,453","15,969",564,"43,910",113.808,29730300.0,261232.0,Region 6,"224,250","224,250","159,900","159,900","203,775","203,775","158,925","158,925","159,900","159,900","165,750","165,750","165,750","165,750","1,238,250","1,238,250"
Utah,"1,478","22,350","1,626",626,54,"2,532",40.2917,3310770.0,82170.0,Region 8,"23,400","23,400","16,575","16,575","21,450","21,450","16,575","16,575","16,575","16,575","17,550","17,550","17,550","17,550","129,675","129,675"
Vermont,115,"6,069",282,25,18,390,67.6197,623251.0,9217.0,Region 1,"5,850","5,850","4,875","4,875","5,850","5,850","3,900","3,900","4,875","4,875","4,875","4,875","4,875","4,875","35,100","35,100"
Virginia,"5,914","80,256","5,338","2,214",153,"9,183",217.8774,8603980.0,39490.0,Region 3,"72,150","72,150","50,700","50,700","65,325","65,325","50,700","50,700","50,700","50,700","52,650","52,650","52,650","52,650","394,875","394,875"
Washington,"3,455","63,569","4,970","1,849",160,"6,731",117.3248,7796940.0,66456.0,Region 10,"62,400","62,400","44,850","44,850","57,525","57,525","44,850","44,850","57,525","57,525","46,800","46,800","46,800","46,800","360,750","360,750"
West Virginia,"1,084","21,787","1,825",474,68,"2,503",73.5444,1767860.0,24038.0,Region 3,"16,575","16,575","11,700","11,700","14,625","14,625","11,700","11,700","11,700","11,700","11,700","11,700","11,700","11,700","89,700","89,700"
Wisconsin,"5,976","63,084","4,353","1,885",168,"8,609",108.0633,5852490.0,54158.0,Region 5,"49,725","49,725","35,100","35,100","44,850","44,850","35,100","35,100","35,100","35,100","37,050","37,050","37,050","37,050","273,975","273,975"
Wyoming,409,"5,523",451,176,10,694,5.9847,581075.0,97093.0,Region 8,"4,875","4,875","3,900","3,900","4,875","4,875","3,900","3,900","3,900","3,900","3,900","3,900","3,900","3,900","29,250","29,250"
New York City,0,0,0,0,0,0,0.0,0.0,0.0,Region 2,"73,125","73,125","51,675","51,675","66,300","66,300","51,675","51,675","51,675","51,675","53,625","53,625","53,625","53,625","401,700","401,700"
Puerto Rico,0,0,0,0,0,0,0.0,0.0,0.0,Region 2,"30,225","30,225","21,450","21,450","27,300","27,300","21,450","21,450","21,450","21,450","22,425","22,425","22,425","22,425","166,725","166,725"
